category,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,amenities_count
housing/rent/apartment,1.0,0,Thumbnail,,790,101,1468,7,38.9057,-76.9861,0
housing/rent/apartment,1.0,1,Thumbnail,,425,106,449,15,37.968,-87.6621,0
housing/rent/apartment,1.0,0,Thumbnail,,1390,107,52,45,38.891,-77.0816,0
housing/rent/apartment,1.0,0,Thumbnail,,925,116,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,0,Thumbnail,,880,125,52,45,38.8738,-77.1055,0
housing/rent/apartment,1.0,0,Thumbnail,,2475,130,821,34,40.7629,-73.9885,5
housing/rent/apartment,1.0,0,Thumbnail,,1800,132,1446,4,33.9932,-118.4609,0
housing/rent/apartment,1.0,0,Thumbnail,,840,136,1468,7,38.9328,-77.0297,0
housing/rent/apartment,1.0,0,Thumbnail,,1495,138,1247,4,37.7599,-122.4379,1
housing/rent/apartment,1.0,0,Thumbnail,,890,141,1468,7,38.9118,-77.0132,0
housing/rent/apartment,1.0,0,Thumbnail,,990,146,1468,7,38.9118,-77.0132,0
housing/rent/apartment,1.0,0,Thumbnail,,840,150,1468,7,38.9118,-77.0132,0
housing/rent/apartment,1.0,1,Thumbnail,,1795,156,1418,3,32.2264,-110.9438,0
housing/rent/apartment,1.0,0,Thumbnail,,1090,178,1468,7,38.9118,-77.0132,0
housing/rent/apartment,1.0,0,Thumbnail,,1695,190,1247,4,37.7599,-122.4379,1
housing/rent/apartment,1.0,1,Thumbnail,,1560,200,966,27,35.0847,-77.0609,8
housing/rent/apartment,1.0,1,Thumbnail,,1560,200,966,27,35.096,-77.0272,8
housing/rent/apartment,1.0,1,Thumbnail,,1000,200,1341,43,30.0871,-95.4685,0
housing/rent/apartment,1.0,1,Thumbnail,,950,200,1438,4,38.1172,-122.2313,0
housing/rent/apartment,1.0,1,Thumbnail,,625,200,835,10,33.9649,-84.5107,1
housing/rent/apartment,1.0,1,Thumbnail,,600,200,258,27,35.2016,-80.8124,0
housing/rent/apartment,1.0,1,Thumbnail,,544,200,1385,9,30.4601,-84.2714,7
housing/rent/apartment,1.0,1,Thumbnail,,525,200,69,43,38.8098,-93.6516,0
housing/rent/apartment,1.0,1,Thumbnail,,450,200,1100,3,33.5178,-112.0848,1
housing/rent/apartment,1.0,1,Thumbnail,,750,215,1195,9,27.8492,-82.3155,0
housing/rent/apartment,1.0,1,Thumbnail,,2000,219,721,1,32.8956,-85.4351,0
housing/rent/apartment,1.0,1,Thumbnail,,1400,219,1247,4,37.7599,-122.4379,0
housing/rent/apartment,1.0,1,Thumbnail,,1095,219,528,20,39.1634,-76.6165,0
housing/rent/apartment,1.0,1,Thumbnail,,915,219,775,5,39.5816,-105.0387,1
housing/rent/apartment,1.0,1,Thumbnail,,900,219,1460,20,38.621,-76.9225,1
housing/rent/apartment,1.0,1,Thumbnail,,865,219,1195,9,27.8492,-82.3155,1
housing/rent/apartment,1.0,1,Thumbnail,,750,219,69,43,38.8098,-93.6516,1
housing/rent/apartment,1.0,1,Thumbnail,,725,219,67,5,39.6828,-104.8078,0
housing/rent/apartment,1.0,1,Thumbnail,,650,219,817,45,38.7418,-77.4684,0
housing/rent/apartment,1.0,1,Thumbnail,,650,219,363,10,33.7416,-84.2614,0
housing/rent/apartment,1.0,1,Thumbnail,,645,219,1386,9,28.0076,-82.4792,0
housing/rent/apartment,1.0,1,Thumbnail,,595,219,13,32,35.1038,-106.611,0
housing/rent/apartment,1.0,1,Thumbnail,,750,220,69,43,38.8098,-93.6516,0
housing/rent/apartment,1.0,0,Thumbnail,,1195,223,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,0,Thumbnail,,1150,225,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,1,Thumbnail,,942,225,272,14,41.8625,-87.6825,5
housing/rent/apartment,1.0,0,Thumbnail,,1250,228,1285,47,47.616,-122.3275,0
housing/rent/apartment,1.0,1,Thumbnail,,800,230,518,27,35.224,-81.1809,0
housing/rent/apartment,1.0,1,Thumbnail,,685,230,1543,9,27.7011,-82.3178,0
housing/rent/apartment,1.0,1,Thumbnail,,525,230,865,42,35.1211,-89.9517,0
